,ID Number,Degree,Major,Honors,Departmental Honors,Printed Name,Phonetic Spelling,First Name,Middle Name,Last Name,Grad Date,Street Address,"Apt., Ste., Bldg.",City,State,Province,Postal Code,Country,Phone,Email,ID Number.1,Notes,Extra Notes,NO,Unnamed: 24,Unnamed: 25,Unnamed: 26
168,A6408668,B.S.,Data Science,,,Wfnfmwga H. Afmodc,WfnfmwgaAfmodc,Wfnfmwga,Hlovt,Afmodc,2022-05-02 00:00:00,XXXXXXX,,Gallatin,TN,,37066,USA,(227)233-6541,Wfnfmwga.Afmodc@my.fisk.edu,A6408668,Dept Approved,,,,,
169,Z0417488,B.S.,Data science ,Cum Laude  ,,Affwhk N. Hvudx,AffwhkHvudx,Affwhk,Nmvac,Hvudx,2022-05-02 00:00:00,XXXXXXX,,Nashville,TN,,37208,USA,(402)564-3252,Affwhk.Hvudx@my.fisk.edu,Z0417488,Dept Approved,,,,,
170,G3282346,B.S.,Homeland Security,,,Abp V. Falxasfz,AbpFalxasfz,Abp,V,Falxasfz,2022-05-02 00:00:00,XXXXXXX,Suite 500 (Attn Vincent Demps),Nashville,TN,,37203,USA,(958)696-2564,Abp.Falxasfz@my.fisk.edu,G3282346,Dept Approved,,,,,
171,H5141952,B.S.,Mathematics & Chemistry,Magna Cum Laude  ,,Domq F. Ocev,DomqOcev,Domq,Fiape,Ocev,2022-05-02 00:00:00,XXXXXXX,,Nashville ,TN,,37207,USA,(990)721-6952,Domq.Ocev@my.fisk.edu,H5141952,Dept Approved,"133 credits, 2 missing grades",,,,
172,N7309104,B.S.,Music Education,,,Gtoztf D. Abdcf,GtoztfAbdcf,Gtoztf,D,Abdcf,2022-05-02 00:00:00,XXXXXXX,,Durham,NC,,27713,USA,(473)935-2382,Gtoztf.Abdcf@my.fisk.edu,N7309104,Dept Approved,"Alternate Address Given: 5161 Rice Road Apt 71, Antioch, TN, 37013",,,,"All grades entered, not enrolled in SP-22"
173,D3280372,B.S.,Music Education ,Summa Cum Laude  ,,Qbdp K. Imusofork,QbdpImusofork,Qbdp,Knri,Imusofork,2022-05-02 00:00:00,XXXXXXX,,Germantown ,TN,,38138,USA,(161)283-7931,Qbdp.Imusofork@my.fisk.edu,D3280372,Dept Approved,,,,,
174,G2482870,B.S.,Physics,Summa Cum Laude  ,Praful Prasad Sigdel,Dtvicbckl O. Ckqar,DtvicbcklCkqar,Dtvicbckl,O,Ckqar,PMB 351341,XXXXXXX,Nashville,TN,,37235-1341,USA,(615) 424-7735,(429)261-9531,Dtvicbckl.Ckqar@my.fisk.edu,G2482870,"All grades entered, not enrolled in SP-22",,,,,
175,B7511199,B.S.,Physics,Summa Cum Laude  ,Praful Prasad Sigdel,Gjni U. Ygmswn,GjniYgmswn,Gjni,Uo,Ygmswn,PMB 351341,XXXXXXX,Nashville,TN,,37235-1341,USA,(615) 424-7735,(569)521-0349,Gjni.Ygmswn@my.fisk.edu,B7511199,"All grades entered, not enrolled in SP-22",,,,,
176,G4477828,B.S.,Physics,Summa Cum Laude  ,Praful Prasad Sigdel,Zjhasp X. Vcylveml,ZjhaspVcylveml,Zjhasp,Xuxy,Vcylveml,Prah-Fuul Prah-Sadh Sig-Del,XXXXXXX,Prasad,Sigdel,2022-05-02 00:00:00,PMB 351341,2301 Vanderbilt Place,Nashville,(046)260-5173,Zjhasp.Vcylveml@my.fisk.edu,G4477828,USA,(615) 424-7735,Praful.p.sigdel@vanderbilt.edu ,A0000053593,,
177,O3099894,B.S.,Physics,Cum Laude ,Rammon R. Green,Zbwyoy L. Jwoek,ZbwyoyJwoek,Zbwyoy,Lj,Jwoek,,XXXXXXX,R.,Green,2022-05-01 00:00:00,303 Route 137,,Harwich,(340)727-1178,Zbwyoy.Jwoek@my.fisk.edu,O3099894,USA,(774) 541-0181,rammongreeen@gmail.com,A0000053341,,
178,O4114262,B.S.,Physics,Cum Laude ,,Ibkc G. Hyavbmde,IbkcHyavbmde,Ibkc,G,Hyavbmde,2022-05-02 00:00:00,XXXXXXX,,Cordova,TN,,38016,USA,(390)766-2654,Ibkc.Hyavbmde@my.fisk.edu,O4114262,Dept Approved,123 credits,,,,
179,F8532936,B.S.,Physics,,,Bqzzlia Q. Gbvetdnh,BqzzliaGbvetdnh,Bqzzlia,Qv,Gbvetdnh,2022-05-02 00:00:00,XXXXXXX,,Milwaukee,WI,,53216,USA,(026)833-3833,Bqzzlia.Gbvetdnh@my.fisk.edu,F8532936,Dept Approved,"115 credits, 2 missing grades",,,,
180,U4300797,M.A.,Biology,,,Aks L. Nadyen,AksNadyen,Aks,L,Nadyen,2022-05-02 00:00:00,XXXXXXX,Apt 224,Franklin,TN,,37027,USA,(704)929-7900,Aks.Nadyen@my.fisk.edu,U4300797,Dept Approved,33 credit hours in grad school,,,,
181,Y6736142,M.A.,Biology,,,Ufzxo Z. Yaqu,UfzxoYaqu,Ufzxo,Zq,Yaqu,2022-05-02 00:00:00,XXXXXXX,,Ferguson,MO,,63135,USA,(505)075-0183,Ufzxo.Yaqu@my.fisk.edu,Y6736142,Dept Approved,"Dr. Nelms approved, Dr. Burger granted commemencement participation",,,,
182,O2463678,M.A.,Biology,,,Cwef R. Gldic,CwefGldic,Cwef,Rqqv,Gldic,2022-05-02 00:00:00,XXXXXXX,,Enterprise,AL,,36330,USA,(405)168-7341,Cwef.Gldic@my.fisk.edu,O2463678,Dept Approved,"Grad school student, ",,,,
183,R8421053,M.A.,Clinical Psychology,,,Xfcmwnf D. Qeaiucpt,XfcmwnfQeaiucpt,Xfcmwnf,D,Qeaiucpt,2022-05-02 00:00:00,XXXXXXX,Apt 1415,Antioch,TN,,37013,USA,(564)937-0591,Xfcmwnf.Qeaiucpt@my.fisk.edu,R8421053,Late Submission,,,,,
184,Q7983715,M.A.,Clinical Psychology,,,Fdtalvor K. Cpmjdwgbb,FdtalvorCpmjdwgbb,Fdtalvor,Kj,Cpmjdwgbb,2022-05-02 00:00:00,XXXXXXX,,Lafayette,LA,,70501,USA,(410)535-6397,Fdtalvor.Cpmjdwgbb@my.fisk.edu,Q7983715,Late Submission,,,,,
185,Z0448872,M.A.,Clinical Psychology,,,Vrukbosjr Q. Lvcjpb,VrukbosjrLvcjpb,Vrukbosjr,Qzt,Lvcjpb,2022-05-02 00:00:00,XXXXXXX,,Santa Clara,CA,,95051,USA,(701)391-4724,Vrukbosjr.Lvcjpb@my.fisk.edu,Z0448872,Late Submission,,,,,
186,J3364496,M.A.,Clinical Psychology ,,,Tnnn Z. Xfel,TnnnXfel,Tnnn,Zhvj,Xfel,2022-05-02 00:00:00,XXXXXXX,,Los Angeles,CA,,90043,USA,(477)976-6424,Tnnn.Xfel@my.fisk.edu,J3364496,Dept Approved,"Has 36 grad credits, one grade missing",,,,
187,O4751042,M.A.,Clinical Psychology ,,,Sts V. Ygzkdhzcg,StsYgzkdhzcg,Sts,Vla,Ygzkdhzcg,2022-05-02 00:00:00,XXXXXXX,,Blythewood,SC,,29016,USA,(376)431-6465,Sts.Ygzkdhzcg@my.fisk.edu,O4751042,Late Submission,,,,,
188,Y3378548,M.A.,Social Justice,,,Nlxntosg E. Hqjwfcrh,NlxntosgHqjwfcrh,Nlxntosg,Eixmy,Hqjwfcrh,2022-05-02 00:00:00,XXXXXXX,,Clarksville,TN,,37040-3374,USA,(125)747-0117,Nlxntosg.Hqjwfcrh@my.fisk.edu,Y3378548,Dept Approved,"Has 36 grad credits, one grade missing",,,,
189,D5492037,M.A.,Social Justice ,,,Xoldzwntn I. Zgufdyzk,XoldzwntnZgufdyzk,Xoldzwntn,Ifyu,Zgufdyzk,2022-05-02 00:00:00,XXXXXXX,,Jackson,TN,,38301,USA,(792)728-8722,Xoldzwntn.Zgufdyzk@my.fisk.edu,D5492037,Dept Approved,,,,,
190,N1881390,M.S.,Biology,,,Dnw D. Jomqs,DnwJomqs,Dnw,Dyois,Jomqs,2022-05-02 00:00:00,XXXXXXX,,Salisbury,NC,,28146,USA,(269)903-9201,Dnw.Jomqs@my.fisk.edu,N1881390,Dept Approved,,,,,
191,I8471956,M.S.,Biology,,,Shyehfgd Y. Tpupvngb,ShyehfgdTpupvngb,Shyehfgd,Ywda,Tpupvngb,2022-05-02 00:00:00,XXXXXXX,,Gainesville,FL,,32608,USA,(644)631-1351,Shyehfgd.Tpupvngb@my.fisk.edu,I8471956,Dept Approved,,,,,
192,K4086693,M.S.,Biology,,,Lecjbjtvt X. Rfnobbxsc,LecjbjtvtRfnobbxsc,Lecjbjtvt,Xu,Rfnobbxsc,2022-05-02 00:00:00,XXXXXXX,,Thousand Oaks,CA,,91360,USA,(166)061-0184,Lecjbjtvt.Rfnobbxsc@my.fisk.edu,K4086693,Dept Approved,,,,,
193,M0222715,M.S.,Chemistry,,,Ahxpacd T. Zuzfybyrj,AhxpacdZuzfybyrj,Ahxpacd,Ti,Zuzfybyrj,2022-05-02 00:00:00,XXXXXXX,,Antioch,TN,,37013,USA,(744)006-2066,Ahxpacd.Zuzfybyrj@my.fisk.edu,M0222715,Dept Approved,,,,,
194,B7067434,M.S.,Physics,,,Cmdcgagh B. Wxidagma,CmdcgaghWxidagma,Cmdcgagh,B,Wxidagma,2022-05-02 00:00:00,XXXXXXX,,Dallas,TX,,75243,USA,(306)340-7375,Cmdcgagh.Wxidagma@my.fisk.edu,B7067434,Dept Approved,,,,,
195,Y8259317,M.S.,Physics,,,Tyzvpulfx K. Pcbd,TyzvpulfxPcbd,Tyzvpulfx,Kgenq,Pcbd,2022-05-02 00:00:00,XXXXXXX,,Garland,TX,,75044,USA,(221)237-1657,Tyzvpulfx.Pcbd@my.fisk.edu,Y8259317,Dept Approved,,,,,
196,E2437954,M.S.,Physics,,,Murghgs W. Xcegd,MurghgsXcegd,Murghgs,Wbye,Xcegd,2022-05-02 00:00:00,XXXXXXX,,Washington ,DC,,20019,USA,(541)234-3559,Murghgs.Xcegd@my.fisk.edu,E2437954,Dept Approved,,,,,
197,S9079304,M.S.,Physics,,,Otsfwiytz T. Kevbgl,OtsfwiytzKevbgl,Otsfwiytz,T,Kevbgl,2022-05-02 00:00:00,XXXXXXX,,Clayton,NC,,27527,USA,(123)337-0941,Otsfwiytz.Kevbgl@my.fisk.edu,S9079304,Dept Approved,,,,,
198,B9511407,M.S.,Physics,,,Wfn V. Fbp,WfnFbp,Wfn,V,Fbp,2022-05-02 00:00:00,XXXXXXX,,Nashville,TN,,37203,USA,(114)215-5938,Wfn.Fbp@my.fisk.edu,B9511407,Dept Approved,,,,,
199,R0012098,,Needs further review,,,Kwxegvkpn X. Jwgh,KwxegvkpnJwgh,Kwxegvkpn,Xvufo,Jwgh,,XXXXXXX,,,,,,,(688)433-6020,Kwxegvkpn.Jwgh@my.fisk.edu,R0012098,,,,,,
